website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
δ34S-gyp (‰),DELTA_S34_GYP,iron_sulfur,4,0,0,4,0,0,100
δ34S-obs (‰),DELTA_S34_OBS,iron_sulfur,66,0,0,66,0,0,100
δ34S-py (‰),DELTA_S34_PY,iron_sulfur,7661,35,0,7626,0.46,0,99.54
δ44/40Ca-carb (‰),DELTA_Ca44_Ca40_CARB,metal_isotope,632,0,0,632,0,0,100
δ51V-auth (‰),DELTA_V51_AUTH,metal_isotope,18,0,0,18,0,0,100
δ53Cr (‰),DELTA_Cr53,metal_isotope,122,0,0,122,0,0,100
δ53Cr-auth (‰),DELTA_Cr53_AUTH,metal_isotope,18,0,0,18,0,0,100
δ53Cr-carb (‰),DELTA_Cr53_CARB,metal_isotope,76,0,0,76,0,0,100
δ56Fe (‰),DELTA_Fe56,metal_isotope,623,0,0,623,0,0,100
δ56Fe-auth (‰),DELTA_Fe56_AUTH,metal_isotope,121,0,0,121,0,0,100
δ56Fe-py (‰),DELTA_Fe56_PY,metal_isotope,37,0,0,37,0,0,100
δ65Cu (‰),DELTA_Cu65,metal_isotope,26,0,0,26,0,0,100
δ66Zn (‰),DELTA_Zn66,metal_isotope,26,0,0,26,0,0,100
δ7Li (‰),DELTA_Li7,metal_isotope,127,0,0,127,0,0,100
δ7Li-carb (‰),DELTA_Li7_CARB,metal_isotope,187,0,0,187,0,0,100
δ82/78Se (‰),DELTA_Se82_Se78,metal_isotope,302,0,0,302,0,0,100
δ98Mo (‰),DELTA_Mo98,metal_isotope,1320,0,0,1320,0,0,100
δ98Mo-auth (‰),DELTA_Mo98_AUTH,metal_isotope,172,0,0,172,0,0,100
δ98Mo-carb (‰),DELTA_Mo98_CARB,metal_isotope,197,0,0,197,0,0,100
𝜀205Tl-auth,e205Tl-auth,metal_isotope,654,0,0,654,0,0,100
𝜀205Tl-det,e205Tl-det,metal_isotope,13,0,0,13,0,0,100
𝜀Nd(0),eNd(0),metal_isotope,69,0,0,69,0,0,100
𝜀Nd(t),eNd(t),metal_isotope,61,0,0,61,0,0,100
𝜀Ndi,eNdi,metal_isotope,50,0,0,50,0,0,100
,,TOTALS,4132705,807603,13976,3311126,,,
,,PERCENT TOTAL,,19.54,0.34,80.12,,,
