batch_id,lab_batch_id,institution_name,batch_notes,num_sample,num_results,analytes
637,NULL,NULL,"CMIBS data, results from Gill_1994",1344,1279,"Al, Al2O3, Ba, Ca, CaO, Ce, Cr, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, Hf, Ho, K, K2O, La, Li, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pr, Rb, Sc, Si, SiO2, Sm, Sr, Ta, Tb, Th, Ti, TiO2, Tm, U, V, Y, Yb, Zn, Zr"
638,NULL,NULL,"CMIBS data, results from Glasmacher_2003",1848,1565,"Al, Al2O3, As, Ba, C, Ca, CaO, Co, Cu, Fe, Fe2O3, Ga, K, K2O, LOI, Mg, MgO, Mn, MnO, Mo, N, Na, Na2O, Nb, P, P2O5, Pb, Rb, S, Sb, Si, SiO2, Sr, Ti, TiO2, V, Y, Zn, Zr"
639,NULL,NULL,"CMIBS data, results from Glikson_1985",767,208,"Cr, Cu, Mo, N_ORG, Ni, TOC, TOM, Ti, V, Zn"
640,NULL,NULL,"CMIBS data, results from Goodfellow_2003_3",16906,13694,"Ag, Al, Al2O3, As, Au, Ba, Be, Bi, C, CO2, CTO2, Ca, CaO, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, FeO, Ga, Gd, Ge, H2O_t, Hf, Hg, Ho, In, K, K2O, La, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pr, Rb, S, Sb, Sc, Se, Si, SiO2, Sm, Sn, Sr, TOC, Ta, Tb, Te, Th, Ti, TiO2, Tl, Tm, U, V, Y, Yb, Zn, Zr"
641,NULL,NULL,"CMIBS data, results from Goodfellow_2000",22008,16639,"Ag, Al, Al2O3, As, Ba, Be, Bi, C, CO2, CTO2, Ca, CaO, Cd, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, Fe, Fe2O3, Ga, Gd, H2O_t, Hf, Ho, In, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pr, Rb, S, Sb, Sc, Se, Si, SiO2, Sm, Sn, Sr, Ta, Tb, Th, Ti, TiO2, Tl, Tm, U, V, Y, Yb, Zn, Zr"
642,NULL,NULL,"CMIBS data, results from Graves_1988",25198,12443,"Al, Al2O3, As, Au, Ba, Br, C, CTO2, Ca, CaO, Cd, Ce, Co, Cr, Cs, Cu, Eu, Fe, Fe2O3, FeO, Ga, Hf, K, K2O, La, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Ni, P, P2O5, Pb, Rb, S, Sb, Sc, Si, SiO2, Sm, Sr, Ta, Tb, Th, Ti, TiO2, U, V, W, Y, Yb, Zn, Zr"
643,NULL,NULL,"CMIBS data, results from Gromet_1984",2160,405,"Al, Al2O3, As, Ba, Br, Ca, CaO, Ce, Co, Cr, Cs, Dy, Er, Eu, Fe, Fe2O3, Gd, Hf, Ho, K, K2O, La, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Nd, Ni, P, P2O5, Pr, Rb, Sb, Sc, Si, SiO2, Sm, Sr, Ta, Tb, Th, Ti, TiO2, Tm, U, W, Yb, Zr"
644,NULL,NULL,"CMIBS data, results from Gu_2002",434,434,"Ce, Dy, Er, Eu, Gd, Ho, La, Lu, Nd, Pr, Sm, Tb, Tm, Yb"
645,NULL,NULL,"CMIBS data, results from Hassan_1999",2820,2151,"Al, Al2O3, Ba, Ca, CaO, Ce, Co, Cr, Cs, Cu, Eu, Fe, Fe2O3, Gd, Hf, K, K2O, LOI, La, Lu, Mg, MgO, Mn, MnO, Na, Na2O, Nb, Ni, P, P2O5, Rb, Sc, Si, SiO2, Sm, Sr, Ta, Tb, Th, Ti, TiO2, U, V, Y, Yb, Zn, Zr"
646,NULL,NULL,"CMIBS data, results from Haus_1993",198030,26211,"Ag, Al, Al2O3, As, Au, B, Ba, Be, Bi, C, CTO2, Ca, CaO, Ce, Co, Cr, Cs, Cu, Dy, Er, Eu, F, Fe, Fe2O3, Ga, Gd, H2O_m, H2O_p, Hg, Ho, K, K2O, LOI, La, Li, Lu, Mg, MgO, Mn, MnO, Mo, Na, Na2O, Nb, Nd, Ni, P, P2O5, Pb, Pd, Pr, Pt, Rb, S, Sb, Sc, Si, SiO2, Sm, Sn, Sr, Ta, Tb, Th, Ti, TiO2, Tl, Tm, U, V, W, Y, Yb, Zn, Zr"
