website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
Th-carb (ppm),Th-carb,carbonate_proxy,912,0,0,912,0,0,100
Ti (wt%),"Ti, TiO2",element,26340,189,0,26151,0.72,0,99.28
Ti-carb (wt%),Ti-carb,carbonate_proxy,531,0,0,531,0,0,100
TIC (wt%),TIC,carbon,5094,30,0,5064,0.59,0,99.41
Tl (ppm),Tl,element,14863,1446,0,13417,9.73,0,90.27
Tl-auth (ppm),Tl-auth,element,462,0,0,462,0,0,100
Tl-carb (ppm),Tl-carb,carbonate_proxy,365,75,0,290,20.55,0,79.45
Tm (ppm),Tm,element,8167,118,0,8049,1.44,0,98.56
Tm-carb (ppm),Tm-carb,carbonate_proxy,875,2,0,873,0.23,0,99.77
Tmax (degC),Tmax,carbon,4145,1,11,4133,0.02,0.27,99.71
TOC (wt%),TOC,carbon,27430,81,0,27349,0.3,0,99.7
Total Carbon (wt%),C,carbon,6061,14,0,6047,0.23,0,99.77
Total_Carbonate (wt%),Total_Carbonate,mineralogy_composition,119,0,0,119,0,0,100
Total_Clay (wt%),Total_Clay,mineralogy_composition,476,0,0,476,0,0,100
Total_NonClay (wt%),Total_NonClay,mineralogy_composition,24,0,0,24,0,0,100
U (ppm),U,element,26064,354,0,25710,1.36,0,98.64
U-carb (ppm),U-carb,carbonate_proxy,1216,78,0,1138,6.41,0,93.59
V (ppm),"V, V2O5",element,26956,179,0,26777,0.66,0,99.34
V-auth (ppm),V-auth,element,18,0,0,18,0,0,100
V-carb (ppm),V-carb,carbonate_proxy,842,0,0,842,0,0,100
W (ppm),W,element,15789,1626,222,13941,10.3,1.41,88.3
W-carb (ppm),W-carb,carbonate_proxy,299,0,0,299,0,0,100
Y (ppm),Y,element,19746,142,0,19604,0.72,0,99.28
Y-carb (ppm),Y-carb,carbonate_proxy,858,0,0,858,0,0,100
Yb (ppm),Yb,element,9120,51,6,9063,0.56,0.07,99.38
Yb-carb (ppm),Yb-carb,carbonate_proxy,875,1,0,874,0.11,0,99.89
Zn (ppm),Zn,element,22181,275,27,21879,1.24,0.12,98.64
Zn-carb (ppm),Zn-carb,carbonate_proxy,365,0,0,365,0,0,100
Zr (ppm),Zr,element,21344,103,1,21240,0.48,0,99.51
