"lith_name","lith_texture","lith_comp","color","verbatim_lith"
"arkose",NULL,NULL,NULL,"arkose;CC3-5 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;CD1-10 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;CD1-4 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;CONGLOMERATIC ARKOSE"
"arkose",NULL,NULL,NULL,"arkose;CROSS BEDDED ARKOSE CONTAINING MALACHITE AND AZURITE;  carbonaceous (organic); calcareous;"
"arkose",NULL,NULL,NULL,"arkose;CV1-10 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;CV1-16 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;CV2-3 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;CV2-5 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;DR1-1 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;DR1-4 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;DR2-1 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;DR2-4 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;FT1-3 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;FT1-9 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;GREY ARKOSE.  HENDRICKS ISLAND"
"arkose",NULL,NULL,NULL,"arkose;GREY ARKOSE.  PRALLSVILLE ANOM."
"arkose",NULL,NULL,NULL,"arkose;JB1-3 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;JB1-8 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;KB1-2 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;KB1-5 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;LV-3 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;LV-8 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;LV2-3 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;LV2-5 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;MEDIUM, MAROON ARKOSE;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;MINERALIZED ARKOSE;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;NULL"
"arkose",NULL,NULL,NULL,"arkose;OC1-2 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;OC1-8 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;PINK ARKOSE.  HENDRICKS ISLAND"
"arkose",NULL,NULL,NULL,"arkose;PV1-2 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;PV1-5 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SCC1-2 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SCC1-5 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SD-3 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SD-5 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SD2-11 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SD2-8 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SMC1-2 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SMC1-5 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SUBARKOSE, ALTERED;  clastic; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SUBARKOSE, CALCAREOUS CEMENT;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SUBARKOSE;  arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SV-10 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SV-2 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;SV2-11 ARKOSE;  ferruginous; arkosic;"
